semantic_rule_id,rule_type,rule_coverage_status,rule_pass_status,required_case_types,present_case_types,accepted_case_types,missing_case_types,review_count,paragraph_ids
SR-MR-002-B3-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B4-1,data_constraint,fully_covered,pass,positive|negative|data_validation,data_validation|negative|positive,data_validation|negative|positive,,3,
SR-MR-002-B5-1,data_constraint,fully_covered,pass,positive|negative|data_validation,data_validation|negative|positive,data_validation|negative|positive,,3,
SR-MR-002-B6-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B7-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B8-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-002-B9-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-003-B1-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-003-B10-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-003-B11-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-003-B12-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
SR-MR-003-B13-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-003-B14-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-003-B2-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
SR-MR-003-B3-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-003-B4-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
SR-MR-003-B5-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-003-B6-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-003-B7-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
SR-MR-003-B8-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-003-B9-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-004-A-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-004-B-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-004-B1-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
SR-MR-004-B2-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
SR-MR-004-C-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
SR-MR-004-C-2,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-004-C-3,reference_only,not_applicable,not_applicable,,,,,0,
SR-MR-004-D-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
SR-MR-004-E-1,reference_only,not_applicable,not_applicable,,,,,2,
SR-MR-004-E-2,reference_only,not_applicable,not_applicable,,,,,0,
SR-MR-004-E-3,calculation,partially_covered,fail,positive|boundary|data_validation,data_validation|negative|positive,data_validation|negative|positive,boundary,3,
SR-MR-004-E-4,reference_only,not_applicable,not_applicable,,,,,0,
SR-MR-004-E-5,reference_only,not_applicable,not_applicable,,,,,3,
SR-MR-004-E-6,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-012-A-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-012-A-10,reference_only,not_applicable,not_applicable,,,,,0,
SR-MR-012-A-2,reference_only,not_applicable,not_applicable,,,,,0,
SR-MR-012-A-3,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-012-A-4,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-012-A-5,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-012-A-6,reference_only,not_applicable,not_applicable,,,,,0,
SR-MR-012-A-7,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-012-A-8,reference_only,not_applicable,not_applicable,,,,,0,
SR-MR-012-A-9,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
SR-MR-012-B-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-012-B-2,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-012-B-3,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-012-B-4,reference_only,not_applicable,not_applicable,,,,,0,
SR-MR-012-C-1,calculation,fully_covered,pass,positive|boundary|data_validation,boundary|data_validation|positive,boundary|data_validation|positive,,3,
SR-MR-012-D-1,calculation,partially_covered,fail,positive|boundary|data_validation,boundary|data_validation|positive,boundary|positive,data_validation,3,
